关键词,7天展示量,流量占比,流量分布(自然),流量分布(广告),展示位置,自然排名,自然排名(页码-页内排名),抓取时间,sp广告排名,sp广告排名(页码-页内排名),抓取时间,关键词排名,周搜索量,Top3 点击份额,Top3 购买份额
frigidaire ice maker countertop,120,0.10%,13%,87%,"自然,HR",42,P3-10,美03月30日 07:54,-,-,-,119163,1614,63.58%,74.47%
aglucky countertop ice maker machine,120,0.10%,0%,100%,"SP,HR",-,-,-,3,P1-3,美03月29日 19:00,374985,491,77.35%,81.82%
gevi ice maker,120,0.10%,86%,14%,"自然,SP",9,P1-9,美03月29日 00:14,4,P1-4,美03月27日 21:15,824906,215,78.57%,0.00%
soft ice maker,119,0.10%,100%,0%,自然,21,P2-5,美03月30日 11:36,-,-,-,208902,898,51.53%,100.00%
dry ice machine,115,0.10%,100%,0%,自然,47,P1-47,美03月30日 11:34,-,-,-,207777,903,55.27%,0.00%
ice shaker,115,0.10%,0%,100%,SP,-,-,-,7,P1-7,美03月28日 07:25,103574,1871,71.00%,76.79%
profile ice machine,115,0.10%,57%,43%,"自然,SP",15,P1-15,美03月27日 21:48,1,P1-1,美03月26日 21:28,899180,196,90.91%,0.00%
igloo ice makers countertop,111,0.09%,0%,100%,"自然,SP",92,P3-28,美03月22日 14:10,5,P1-5,美03月29日 16:57,301567,615,61.16%,71.43%
ge profile opal countertop nugget ice maker,111,0.09%,50%,50%,"自然,SP,HR",16,P1-16,美03月29日 23:51,3,P1-3,美03月25日 20:32,752756,237,76.93%,100.00%
newair countertop nugget ice maker,109,0.09%,68%,32%,"自然,SP,HR",11,P1-11,美03月27日 22:02,2,P1-2,美03月25日 21:49,931023,189,82.61%,0.00%
ice machine countertop,103,0.09%,0%,100%,"SP,HR",-,-,-,1,P1-1,美03月30日 18:30,538726,337,46.89%,0.00%
crushed ice machine,101,0.09%,100%,0%,自然,22,P2-6,美03月30日 13:25,-,-,-,284672,652,57.77%,100.00%
mini nugget ice maker,97,0.08%,85%,15%,"自然,SP,HR",4,P1-4,美03月30日 00:05,6,P1-6,美03月25日 20:45,781026,228,94.45%,0.00%
ge countertop nugget ice maker,94,0.08%,52%,48%,"自然,SP,HR",22,P2-6,美03月30日 19:50,2,P1-2,美03月28日 23:01,699290,256,81.26%,50.00%
ge opal ice maker side tank,93,0.08%,44%,56%,"自然,SP,HR",20,P2-4,美03月30日 19:21,2,P1-2,美03月28日 22:27,632937,285,85.36%,100.00%
portable crushed ice maker,90,0.08%,13%,87%,"自然,SP",42,P3-10,美03月30日 12:54,2,P1-2,美03月29日 15:42,260981,714,53.51%,0.00%
nuggets ice maker,90,0.08%,76%,24%,"自然,SP,HR",13,P1-13,美03月27日 21:42,17,P3-5,美03月27日 21:42,881772,200,70.27%,50.00%
"silonn countertop ice maker machine, portable ice makers countertop with handle, makes up to 27 lbs. of ice per day, 9 cubes in 7 mins, self-cleaning ice maker with ice scoop and basket",89,0.08%,25%,75%,"SP,OOR",-,-,-,6,P1-6,美03月29日 22:14,545546,332,94.86%,94.87%
mini ice makers countertop,87,0.07%,46%,54%,"自然,SP,HR",7,P1-7,美03月30日 18:26,2,P1-2,美03月28日 21:20,533953,340,70.69%,100.00%
chewy ice maker,85,0.07%,99%,1%,"自然,SP,HR",9,P1-9,美03月30日 00:14,17,P3-5,美03月07日 20:56,806380,220,69.23%,0.00%
silonn ice maker,85,0.07%,0%,100%,"SP,HR",-,-,-,3,P1-3,美03月28日 16:39,347054,532,80.30%,94.44%
mega ice machine,84,0.07%,6%,94%,"自然,SP,HR",27,P2-11,美03月30日 00:14,1,P1-1,美03月29日 00:01,801546,222,65.22%,0.00%
ice makers countertop self cleaning,81,0.07%,35%,65%,"自然,SP",18,P2-2,美03月30日 19:05,2,P1-2,美03月28日 22:06,599169,301,65.95%,37.50%
profile ice maker,80,0.07%,100%,0%,自然,22,P2-6,美03月30日 11:18,-,-,-,198696,946,69.30%,100.00%
12 volt ice maker,77,0.07%,86%,14%,"自然,SP,HR",22,P2-6,美03月30日 18:51,11,P2-5,美03月27日 19:21,566146,320,66.66%,0.00%
